"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gjc12",9.05282337269983e-06,0.0724821296438662,0.682,0.613,0.211736485864076,"6","Gjc1"
"2610008E11Rik1",9.16698399567727e-06,0.0659509102958621,0.41,0.34,0.214406588674896,"6","2610008E11Rik"
"Nell12",9.42209981947522e-06,0.0364342121669481,0.052,0.028,0.220373492677706,"6","Nell1"
"Mpdz3",9.46668587336181e-06,0.0660102392936108,0.838,0.779,0.221416315892059,"6","Mpdz"
"Nsg22",9.49399398288178e-06,0.0352544228859497,0.103,0.066,0.222055025265622,"6","Nsg2"
"6330403K07Rik1",9.71488534582123e-06,0.027073541466687,0.062,0.034,0.227221453353413,"6","6330403K07Rik"
"Plcg1",9.96980559444272e-06,0.0627213439578969,0.462,0.39,0.233183783048421,"6","Plcg1"
"Tshb",1.01707863024475e-05,0.00786108220820514,0.009,0.002,0.237884520827945,"6","Tshb"
"Mapk1ip1l2",1.02311607645002e-05,0.0528458377264571,0.916,0.89,0.239296619120896,"6","Mapk1ip1l"
"Zfp5681",1.06192120946505e-05,0.0635865938348839,0.731,0.675,0.248372751681782,"6","Zfp568"
"Egr32",1.06205596821463e-05,0.0366987565205567,0.096,0.06,0.24840427040572,"6","Egr3"
"Gm37068",1.06211172052609e-05,0.00292045519609705,0.003,0,0.248417310313847,"6","Gm37068"
"Lyg2",1.06211172052609e-05,0.00292045519609705,0.003,0,0.248417310313847,"6","Lyg2"
"4930432M17Rik",1.06211172052609e-05,0.00292045519609705,0.003,0,0.248417310313847,"6","4930432M17Rik"
"Clrn21",1.06211172052609e-05,0.00292045519609705,0.003,0,0.248417310313847,"6","Clrn2"
"Gm28651",1.06211172052609e-05,0.00292045519609705,0.003,0,0.248417310313847,"6","Gm28651"
"Olfr1535",1.06211209527765e-05,0.00348911999564842,0.003,0,0.24841739796449,"6","Olfr1535"
"Gm35281",1.06373973252855e-05,0.00287932808537823,0.003,0,0.248798086041102,"6","Gm35281"
"Gm9913",1.06980892698853e-05,0.0128356345098741,0.019,0.006,0.250217609933347,"6","Gm9913"
"Zfhx31",1.09299739476996e-05,0.0661069711104193,0.757,0.681,0.255641160662746,"6","Zfhx3"
"Sppl2a2",1.09629026744655e-05,0.0664746134811816,0.472,0.4,0.256411330653073,"6","Sppl2a"
"Slc38a22",1.10717480274728e-05,0.0473416434099723,0.98,0.96,0.258957114614562,"6","Slc38a2"
"Prss231",1.10719809075702e-05,0.0262584081025825,0.049,0.025,0.258962561447159,"6","Prss23"
"Accs1",1.10793021542523e-05,0.0315818710837163,0.07,0.041,0.259133798085808,"6","Accs"
"Dzank1",1.11819397282895e-05,0.0281554020299282,0.062,0.034,0.261534388304963,"6","Dzank1"
"Gm12511",1.15672360226287e-05,0.00436118733647924,0.004,0,0.270546083333263,"6","Gm12511"
"A430027H14Rik",1.15946037613691e-05,0.00375183572456521,0.004,0,0.271186187374662,"6","A430027H14Rik"
"Gm30191",1.15946037613691e-05,0.00375183572456521,0.004,0,0.271186187374662,"6","Gm30191"
"Opn4",1.15946037613691e-05,0.00375183572456521,0.004,0,0.271186187374662,"6","Opn4"
"Galr1",1.15946037613691e-05,0.00375183572456521,0.004,0,0.271186187374662,"6","Galr1"
"Sbf21",1.29156951664087e-05,0.0674197752668837,0.821,0.762,0.302085194247133,"6","Sbf2"
"Kif7",1.31435137937711e-05,0.040170209799422,0.131,0.089,0.307413644122513,"6","Kif7"
"Fam172a2",1.37096448361626e-05,0.0696708116112434,0.818,0.762,0.320654883073007,"6","Fam172a"
"Fbxw4",1.37792002847384e-05,0.0550773983634072,0.268,0.208,0.322281715459747,"6","Fbxw4"
"Speg1",1.3929954400675e-05,0.0536507482542737,0.242,0.186,0.325807703477388,"6","Speg"
"Dnajc101",1.43360511137498e-05,0.0643577449253475,0.805,0.754,0.335305899499494,"6","Dnajc10"
"Vegfa1",1.43894942846064e-05,0.046572863259133,0.297,0.229,0.336555881822659,"6","Vegfa"
"Mid22",1.44131618835677e-05,0.0333353313337124,0.075,0.045,0.337109443294764,"6","Mid2"
"Dusp18",1.45048110358231e-05,0.0290654665341118,0.07,0.041,0.339253025316866,"6","Dusp18"
"Ehbp12",1.47928468159465e-05,0.0725801767982399,0.752,0.68,0.345989894178174,"6","Ehbp1"
"Adora11",1.53751152554988e-05,0.0214795319728999,0.039,0.019,0.359608570710862,"6","Adora1"
"Il1rap1",1.53834115024183e-05,0.0372172068205893,0.092,0.058,0.359802611630062,"6","Il1rap"
